Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Chocolate swiBeverages roll,Snacks,-,100g,306.08,26.97,6.01,19.76
Lemon curd filling,Snacks,-,100g,225.62,26.41,3.43,12.58
Jam filling,Snacks,-,100g,184.62,46.15,0,0
Chocolate pastry,Sweets,-,100g,243.37,32.24,7.05,10.12
ABeveragesorted pastry,Sweets,-,100g,230.74,31.99,6.78,8.91
Orange gateau,Sweets,-,100g,178.05,27.01,4.78,6.02
Black forest gateau,Sweets,-,100g,217.82,30.57,5.94,8.58
Lemon cake,Sweets,-,100g,373.85,43.1,5.29,20.63
Dundee cake,Sweets,-,100g,396.62,41.4,7.78,22.7
Victorian sandwich cake,Sweets,-,100g,373.09,44.74,5.18,19.83
Chocolate eggleBeverages cake,Sweets,-,100g,312.01,43.45,6.66,13.19
Orange eggleBeverages cake,Sweets,-,100g,355.62,52.65,7.16,13.82
Chocolate glace icing,Sweets,-,100g,436.29,62.43,3.22,20.8
Butter icing,Sweets,-,100g,500.72,71.64,0.19,25.37
Chocolate butter icing,Sweets,-,100g,469.59,61.72,3.21,24.77
Almond biscuit (Badam ke biscuit),Snacks,-,100g,407.74,52.14,6.25,19.7
Orange biscuit,Snacks,-,100g,354.78,62.11,3.63,11.01
Gingerman biscuit,Snacks,-,100g,357.43,55.24,6.26,12.73
Coffee drops,Snacks,-,100g,443.07,43.06,7.57,27.16
Christmas biscuit,Snacks,-,100g,406.07,60.97,5.67,15.88
Christmas wreath biscuit,Snacks,-,100g,386.05,58.07,5.43,15.01
Christmas bell biscuit,Snacks,-,100g,404.85,60.79,5.66,15.84
Christmas star biscuit,Snacks,-,100g,392.03,74.54,3.54,10.04
Christmas tree biscuit,Snacks,-,100g,385.63,58.41,5.43,15
Chocolate cream shells,Snacks,-,100g,427.17,59.26,5.1,19.34
Jelly biscuit,Snacks,-,100g,404.61,55.24,4.23,19.33
Cherry and walnut cookies,Snacks,-,100g,422.6,59.35,5.63,18.75
Cheese straws,Snacks,-,100g,382,30.61,9.83,24.28
Butterfly biscuit,Snacks,-,100g,341.45,25.33,9.98,22.11
Flan pastry,Sweets,-,100g,445.8,47.84,6.72,25.04
Fruit flan,Sweets,-,100g,261.35,34.71,3.3,12.48
Orange cream flan,Sweets,-,100g,280.28,36.16,4.73,13.59
Fruit puree tart,Sweets,-,100g,286.5,30.42,3.35,16.83
Apple banana pie,Sweets,-,100g,243.99,32.12,3.13,11.39
Lemon chiffon pie,Sweets,-,100g,259.31,27.63,4.88,14.52
Orange chiffon pie,Sweets,-,100g,207.57,23.14,3.89,11.16
Cream buns,Sweets,-,100g,215.74,14.16,4.45,15.81
Savoury puffs,Sweets,-,100g,190.79,10.8,9.51,15.24
Choux swans,Sweets,-,100g,216.34,14.92,4.35,15.6
Potato aigrettes,Sweets,-,100g,530.03,8.01,2.35,54.24
Cream horns,Sweets,-,100g,408.23,23.12,3.42,33.55
Savoury cheese horns,Sweets,-,100g,295.15,21.38,5.66,20.71
Paneer patties,Snacks,-,100g,338.58,22.79,7.6,23.96
Vegetable patties,Snacks,-,100g,261.92,20.98,4.01,17.74
Pearl millet infant food (Bajra shishu aahaar),Snacks,-,100g,362.44,62.1,11.98,6.62
Sajina,Snacks,-,100g,345.26,66.87,10.81,3.03
Cereal mix,Snacks,-,100g,120.81,21.84,3.32,2.02
Pulse mix,Snacks,-,100g,83.29,16,3.16,0.54
Shishu ahar,Snacks,-,100g,93.37,17.42,2.61,1.43
Cereal pulse mix with amylase rice flour,Other,-,100g,151.57,27.8,4.27,2.74
Banana groundnut paste/puree,Other,-,100g,213.19,36.15,4.27,5.45
Rice dal porridge (Chawal dal ki khichdi/khichri),Main course,-,100g,383.33,65.04,10.8,8.33
Lentils and semolina porridge (Dal suji porridge/daliya),Main course,-,100g,117.29,23.19,3.26,1.06
Spinach khichri (Palak khichri/khichdi),Main course,-,100g,102.18,17.35,3.43,1.91
Vegetable mix,Main course,-,100g,174.21,36.02,4.7,0.94
Lentils and wheat porridge (Dal wheat porridge/daliya ),Main course,-,100g,52.54,8.36,2.71,0.94
Maize porridge,Main course,-,100g,89.57,15.64,2.14,1.89
Spinach peanut burfi (Palak aur mungfali ki burfi),Main course,-,100g,105.37,13.59,3.36,4.39
Split bengal gram burfi/fudge (Channa dal burfi),Main course,-,100g,287.36,54.63,4.65,7.09
Chickpea flour cookies (Sweet besan rounds/cookies),Main course,-,100g,207.01,39.64,4.29,3.42
Pearl millet mathri (Bajra mathri),Main course,-,100g,785.08,7.42,1.82,83.12
Sesame biscuit (Til ke biscuit),Main course,-,100g,424.03,53.65,8.27,19.34
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Main course,-,100g,657.57,8.68,4.05,67.19
Poshtik namak paras,Main course,-,100g,613.39,19.52,6.49,56.58
Soya chikki,Main course,-,100g,423.7,62.89,7.18,15.51
Besan bathua chilla/cheela,Main course,-,100g,373.82,40.65,11.48,18.57
Wheat flour and nuts ladoos (Atta nuts ladoos),Main course,-,100g,391.9,44.31,9.46,19.19
Gram flour and semolina dhokla (Besan suji dhokla),Main course,-,100g,198.91,25.92,8.52,7.1
Atta dal burfi,Main course,-,100g,298.8,40.64,6.66,12.47
Soya roti,Main course,-,100g,283.96,40.03,9.18,9.23
Poshtik khichdi/khichri,Main course,-,100g,93.37,15.64,3.04,1.88
Namkeen daliya,Main course,-,100g,295.11,49.32,8.29,7.99
Sprouts upma,Main course,-,100g,316.25,44.96,9.5,10.44
Semolina idli (Suji/Rava idli),Main course,-,100g,206.39,33.67,9.34,3.47
Poshtik chilla/cheela,Main course,-,100g,159.53,27.47,4.85,3.04
Stuffed bittergourd (dry) (Bharwa karela),Main course,-,100g,217.65,2.49,1.29,22.38
Cauliflower potato canjee,Main course,-,100g,16.79,2.63,0.57,0.39
Creamed spinach,Main course,-,100g,96.91,4.44,5.18,6.39
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),Beverages,-,100g,68.35,9.18,1.93,2.8
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),Beverages,-,100g,68.49,9.33,1.93,2.75
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),Beverages,-,100g,67.82,9.15,1.95,2.75
Woodapple juice (Bel ka sharbat),Beverages,-,100g,34.18,6.51,0.63,0.7
Sattu drink,Beverages,-,100g,23.38,5.16,0.56,0.14
Apple and honey sorbet (Seb aur shehad ka sharbat),Beverages,-,100g,121.3,30.74,0.15,0.29
Thandai,Beverages,-,100g,101.18,9.13,3.59,5.89
Cucumber sharbat (Kheere ka sharbat),Beverages,-,100g,27.28,6.64,0.26,0.06
Apple oats chia seed smoothie,Beverages,-,100g,85.64,13.07,3.49,2.48
Nannari sharbat,Beverages,-,100g,88.79,23.62,0.01,0.01
Semolina milk drink (Thari kanji),Beverages,-,100g,44.16,6.93,0.98,1.36
Saffron milk (Kesariya doodh),Beverages,-,100g,102.18,12.64,3.17,4.57
Black rice kheer (Chak-hao kheer),Sweets,-,100g,147.94,22.93,4.37,4.91
Coconut kheer (Nariyal ki kheer),Sweets,-,100g,162.61,14.42,3.4,10.55
Apple sago payasam (Seb aur sabudana ki kheer),Sweets,-,100g,136.5,14.4,3.13,7.66
Kesari bath,Sweets,-,100g,244.57,31.38,2.4,12.59
Putharekulu,Sweets,-,100g,318.3,59.61,3.66,7.55
Mango malpua,Sweets,-,100g,334.64,12.84,1.65,30.67
Mango vanilla custard,Sweets,-,100g,147.63,18.41,3.43,7.04
Kiwi granola pudding,Sweets,-,100g,280.99,32.33,5.6,15.36
Oats burfi,Sweets,-,100g,425.19,62.47,8.89,17.27
Lotus seed halwa (Kamal gattay ka halwa),Sweets,-,100g,370.55,39.56,7.79,20.69
Amaranth ladoo (Rajgira ladoo),Sweets,-,100g,454.15,51.33,10.12,22.7
Chhena poda,Sweets,-,100g,344.57,33.64,13.68,17.94
Sweet couscous deBeveragesert,Sweets,-,100g,196.2,29.69,3.81,7.69
Sweetened yogurt (Shrikhand),Sweets,-,100g,107.18,16.02,5.27,2.89
Thickened sweetened milk (Rabri),Sweets,-,100g,102.79,10.55,3.52,5.35
Gram flour halwa (Besan halwa),Sweets,-,100g,276.79,25.78,5.88,17.3
Prawn sandwich,Snacks,-,100g,169.65,11.89,10.36,9.27
WatercreBeverages sandwich,Snacks,-,100g,229.42,28.03,5.17,11.47
Fish sandwich,Snacks,-,100g,150.2,10.09,4.72,10.37
Kidney bean sandwich with cottage cheese,Snacks,-,100g,176.64,18.86,9.85,6.84
Finger millet biscuit (Ragi biscuit),Snacks,-,100g,458.56,52.69,4.03,25.79
Buttermilk biscuit,Snacks,-,100g,322.54,34.93,5.76,17.5
Lemon cookies,Snacks,-,100g,394.48,42.19,5.63,23.02
Sweet potato biscuit (Shakarkand ke biscuit),Snacks,-,100g,296.4,38.13,5.14,13.31
Raspberry shortbread cookies,Snacks,-,100g,441.12,61.25,3,21.25
Pumpkin cookies,Snacks,-,100g,218.4,44.69,2.51,3.93
Greenpea cookies,Snacks,-,100g,159.42,23.07,6.53,4.24
Sunflower cookies,Snacks,-,100g,520.62,40.06,9.49,36.28
Cardamom cookies (Elaichi cookies),Snacks,-,100g,400.49,53.99,5.1,19.12
Hazelnut cookies,Snacks,-,100g,493.32,39.44,6.25,34.97
Milk cookies,Snacks,-,100g,459.43,48.43,10.49,24.96
Cranberry cookies,Snacks,-,100g,272.48,36.39,3.92,12.66
Olive biscuit,Snacks,-,100g,438.29,55.01,3.2,23.75
Tutti fruitti biscuit,Snacks,-,100g,420.78,53.12,5.21,17.9
Peach blueberry preserves,Other,-,100g,177.38,45.76,0.53,0.2
Pear preserves (Naashpati ka murabba),Other,-,100g,101.24,25.67,0.25,0.19
Starfruit preserves,Other,-,100g,128.93,33.62,0.24,0.12
Gooseberry pickle (Amla ka achaar),Other,-,100g,278.58,7.61,1.55,27.61
Lotus stem pickle (Kamal kakdi ka achar),Other,-,100g,102.69,20.07,1.44,1.6
Date pickle (Khajoor ka achaar),Other,-,100g,182.29,34.66,1.68,4.21
Garlic pickle (Lahasun ka achar),Other,-,100g,413.62,9.75,3.72,39.88
Fermented bamboo shoot pickle (Mesu pickle),Other,-,100g,59.83,1.73,1.58,5.59
Sweet peach pickle (Aadoo ka achaar),Other,-,100g,144.64,37.01,0.46,0.2
Pickled mustard greens,Other,-,100g,13.12,1.05,1.51,0.22
Small onion pickle,Other,-,100g,16.86,2.76,1.65,0.64
Green tomato pickle (Haray tamatar ka achaar),Other,-,100g,193.26,2.87,1.23,19.67
Pickled cabbage,Other,-,100g,13.69,2.56,0.39,0.14
Coconut pickle (Nariyal ka aachar),Other,-,100g,517.26,11.53,3.02,51.71
Potato pickle (Aloo ka achaar),Other,-,100g,369.14,7.87,2.07,36.46
Mango murabba candy,Sweets,-,100g,293.35,77.32,0.27,0.05
Afghani chicken,Main course,-,100g,151.51,1.95,15.66,9.07
Fish orly,Main course,-,100g,563.7,4.27,5.87,58.18
Hariyali Fish Tikka,Main course,-,100g,150.24,2.21,14.01,9.41
Chicken manchurian,Main course,-,100g,142.34,6.06,9.53,11.96
Handi chicken,Main course,-,100g,166.02,1.49,12.32,12.46
Lemon chicken,Main course,-,100g,169.79,0.55,20.2,9.66
Lemon butter fish,Main course,-,100g,160.25,0.75,16.38,10.26
Baked eggs in tomato sauce,Main course,-,100g,80.05,3.78,4.92,5.22
Egg in a pepper,Main course,-,100g,128.78,0.17,12.64,8.68
Spinach mushroom scrambled egg (Palak mushroom bhurji),Main course,-,100g,158.85,0.59,13.28,11.51
Corn omelette/omlet,Main course,-,100g,166.93,1.57,11.37,12.89
Cajun chicken,Main course,-,100g,184.94,1.94,12.69,13.99
Paaner do pyaza,Main course,-,100g,127.7,3.41,4.22,10.87
Cabbage manchurian (Pattagobhi manchurian),Main course,-,100g,224.26,4.85,0.64,22.48
Gobi 65,Main course,-,100g,278.29,3.59,0.56,29.11
Paneer lababdar,Main course,-,100g,105.48,3.37,3.98,8.46
Roasted cauliflower steak,Main course,-,100g,78.68,2.02,2.05,6.7
Sauteed radishes with green beans,Main course,-,100g,94.32,6.04,2.41,6.61
Garlic chutney/Poondu chutney (Lahasun ki chutney),Main course,-,100g,255.51,20.44,3.34,17.55
Schezwan chutney,Main course,-,100g,205.19,10.79,3.33,17.72
Onion chutney (Pyaaz ki chutney/Vengaya chutney),Main course,-,100g,143.94,13.52,2.97,8.38
Dates chutney (Khajoor ki chutney),Main course,-,100g,103.57,21.69,1.07,1.12
Chicken salad,Main course,-,100g,338.19,1.3,15.33,30.26
Macaroni salad,Main course,-,100g,262.19,21.63,5.02,17.78
Cabbage raita (Pattagobhi raita),Other,-,100g,84.84,5.25,3.24,5.76
Pomegranate raita (Anaar ka raita),Other,-,100g,72.64,7.15,4.05,3.24
Onion raita (Pyaaz ka raita),Other,-,100g,71.56,7.86,4.86,2.43
Green chilli raita (Hari mirch ka raita),Other,-,100g,77.13,7.66,5.58,2.92
Kale salad,Other,-,100g,177.71,5.01,4.86,15.33
Spinach and paneer souffle,Other,-,100g,186.19,9.64,7.56,13.49
Masala souffle,Other,-,100g,123.51,8.02,6.38,7.37
Chicken and cheese souffle,Other,-,100g,182.35,3.47,9.07,14.74
Tamarind chutney (Chintapandu pachadi/Puli chutney),Other,-,100g,109.15,25.07,0.88,0.48
Pav bhaji masala,Other,-,100g,230.47,29.15,9.13,10.96
Green chutney,Other,-,100g,79.42,10.01,5.42,1.6
Sago khitchdi/khichri (Sabudana khitchdi/khichri),Main course,-,100g,187.16,22.41,2.72,10.1
Gram flour chilla/cheela (Besan chilla/cheela),Main course,-,100g,135.93,21.03,7.8,2.85
Vegetable namkeen jave,Main course,-,100g,112.23,18.98,2.93,2.51
Khakhra,Main course,-,100g,178.5,27.66,4.78,5.32
Moong bean dosa (Pesarattu),Main course,-,100g,285.96,31.91,12.32,11.67
Methi thepla,Main course,-,100g,346.16,41.34,8.98,15.95
Rice puttu (Ari puttu),Main course,-,100g,81.98,11.82,1.26,3.13
Buckwheat pancake (Khura),Main course,-,100g,263.3,27.28,2.91,16.43
Quinoa khichdi/khichri,Snacks,-,100g,64.01,8.83,3.18,1.59
Khakhra chaat,Snacks,-,100g,358.66,16.64,4.52,30.65
Banana appam,Snacks,-,100g,469.81,20.06,1.17,42.53
Veg manchurian,Snacks,-,100g,585.64,6.82,0.89,61.65
Pav bhaji,Snacks,-,100g,96.53,11.99,2.66,4.32
Rice murukku,Snacks,-,100g,593.99,33.29,5.41,48.22
Bhel puri,Snacks,-,100g,509.89,16.47,3.52,47.91
Semolina dhokla (Suji/Rava dhokla),Snacks,-,100g,194.91,30.86,5.44,5.2
Spicy corn chaat,Snacks,-,100g,479.8,11.45,4.61,46.55
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Snacks,-,100g,597.79,24,2.34,54.41
Banana chips (Kele ke chips),Snacks,-,100g,665.67,7.32,0.37,70.46
Wheat cake,Sweets,-,100g,314.63,41.13,4.79,14.95
Mango cheesecake,Sweets,-,100g,152.46,20.06,2.39,7.3
Carrot cake (Gajar ka cake),Sweets,-,100g,255.59,35.98,5.6,10.27
Semolina cake (Suji/Rava cake),Sweets,-,100g,374.14,31.32,6.58,25.18
Finger millet cake (Ragi cake),Sweets,-,100g,279.46,38.93,3.96,12.27
Honey cake,Sweets,-,100g,333.59,49.04,3.08,14.7
Almond cardamom cake (Badam elaichi cake),Sweets,-,100g,356.35,34.53,7.18,21.36
Tutti frutti cake,Sweets,-,100g,347.72,52.94,4.49,12.68
Ham and Bean soup,Other,-,100g,96.04,4.18,10.61,4.15
Whey soup,Other,-,100g,68.91,6.26,3.45,3.34
Bottle gourd soup (Ghiya/Lauki soup),Other,-,100g,23.05,1.16,0.45,1.79
Baked potato soup,Other,-,100g,147.05,5.85,5.73,11.21
Pumpkin soup,Other,-,100g,40.05,2.08,0.47,3.2
Sweet corn soup,Other,-,100g,32.25,3.56,0.99,1.63
Paneer soup,Other,-,100g,47.85,2.42,3.22,2.8
Curried Cauliflower soup,Other,-,100g,37.32,3.12,6.72,9.77
Millet soup,Other,-,100g,55.99,8.22,11.26,12.57
Lemon coriander soup,Other,-,100g,108.06,10.32,2.27,6.26
Garlic soup,Other,-,100g,194.86,6.99,2.38,17.62
Dal makhani,Main course,-,100g,74.04,7.96,3.32,3.06
Dalma,Main course,-,100g,118.93,15.04,4.91,4.58
Split bengal gram dal (Channa dal),Main course,-,100g,99.67,9.99,4.15,4.62
Horsegram dal (Kulthi dal),Main course,-,100g,55.65,8.21,2.91,1.13
Panchmel dal,Main course,-,100g,111.22,10.71,4.63,5.36
Dal dhokli,Main course,-,100g,68.74,8.55,2.96,2.47
Gujarati handvo,Main course,-,100g,207.09,31.86,8.24,4.8
Sev (Omapodi/Karapusa),Main course,-,100g,609.14,12.87,5.12,60.08
Papdi,Main course,-,100g,708.96,12.89,1.83,72.11
Jowar dosa,Main course,-,100g,294.35,40.53,8.5,10.28
Bread roll,Main course,-,100g,435.46,16.12,2.85,40.25
Soya seekh kebab,Main course,-,100g,115.05,10,5.4,5.88
ClaBeveragesic seasoned black beans,Main course,-,100g,28.78,7.66,8.01,8.28
Maa chaane ki dal,Main course,-,100g,344.67,43.11,19.8,9.5
Garlic chickpea soup (Lahasun aur chane ka shoraba),Main course,-,100g,89.53,13.92,4.45,2.01
White sauce (thin),Main course,-,100g,115.17,6.58,3.31,8.41
White sauce (medium),Main course,-,100g,151.27,7.98,3.36,11.76
White sauce (thick),Main course,-,100g,209.69,10.24,3.43,17.19
Cheese sauce,Main course,-,100g,194.76,7.08,7.68,15.12
Egg sauce,Main course,-,100g,146.85,5.88,5.97,11.08
Mushroom sauce,Main course,-,100g,137.56,7.31,3.39,10.51
Mustard sauce,Main course,-,100g,158.58,8.29,3.98,12.17
Brown sauce,Main course,-,100g,109.18,5.38,11.92,23.67
ClaBeveragesic italian pasta,Main course,-,100g,42.12,4.4,0.57,2.45
Pasta spinach sauce,Main course,-,100g,85.46,1.76,1.76,7.9
Pasta cheese sauce,Main course,-,100g,149.26,9,4.33,10.84
Mayonnaise,Main course,-,100g,774.86,1.65,1.86,84.52
Low calorie quick mayonnaise,Main course,-,100g,242.89,4.71,1.41,24.35
Thousand island dreBeveragesing,Main course,-,100g,407.87,4.49,1.37,42.87
Curd dip,Main course,-,100g,79.95,7.95,5.04,3.36
Short crust pastry,Sweets,-,100g,422.1,44.72,6.11,23.98
Choux pastry,Sweets,-,100g,222.37,16.2,5.55,14.96
Flaky pastry,Sweets,-,100g,443.94,33.61,4.69,31.99
Sponge cake,Sweets,-,100g,253.77,44.63,9.18,4.74
Glace icing,Sweets,-,100g,323.51,86.31,0.01,0.01
Royal icing,Sweets,-,100g,332.58,86.53,1.74,0.02
American frosting,Sweets,-,100g,257.57,67.48,1.05,0.01
Gum icing,Sweets,-,100g,223.07,53.19,5.94,0
Channa murmura premix,Snacks,-,100g,339.09,72.59,10.59,3.28
Cracked wheat and green gram dal premix (Dalia moong dal premix),Snacks,-,100g,362.16,64.75,15.89,5.11
Rice flakes and roasted channa,Snacks,-,100g,333.4,71.94,10.57,2.94
Spinach soup in milk,Snacks,-,100g,56.72,3.98,2.89,3.2
Vegetable soup,Snacks,-,100g,55.21,7.6,2.22,1.55
Mashed banana with milk,Snacks,-,100g,95.43,14.62,2.51,2.99
Poha with curd (Poha aur dahi),Snacks,-,100g,173.32,26.72,6.01,4.65
Potato with curd,Snacks,-,100g,73.18,12.01,3.19,1.33
Sweet wheat porridge (Sweet dalia),Snacks,-,100g,140.66,23.77,5.11,2.79
Vegetable khichdi/khichri,Snacks,-,100g,143.17,19.57,5.61,4.53
Moong dal mixture,Snacks,-,100g,158.84,33.93,4.62,1
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Snacks,-,100g,167.45,22.35,7.56,5.52
Stewed apple,Snacks,-,100g,91.93,22.49,0.17,0.37
Lemon squash (Nimbu ka squash),Beverages,-,100g,184.56,48.88,0.15,0.06
Orange squash (Santre ka squash),Beverages,-,100g,193.26,50.88,0.22,0.04
Lichi squash,Beverages,-,100g,198.33,51.96,0.3,0.08
Mango squash (Aam ka squash),Beverages,-,100g,194.66,50.96,0.17,0.17
Pineapple squash (Ananas ka squash),Beverages,-,100g,195.02,51.34,0.16,0.05
Lemon and ginger squash (Nimbu aur adrak ka squash),Beverages,-,100g,170.34,44.06,0.54,0.21
Apple jam (Seb ka murabba),Other,-,100g,188.79,48.56,0.14,0.32
Plum jam (Aloo bukhara jam),Other,-,100g,178.89,46.2,0.31,0.19
Pineapple jam,Other,-,100g,149.18,38.27,0.32,0.15
Guava jelly (Amrood ki jelly),Other,-,100g,115.74,28.18,1.11,0.25
Orange marmalade (Santray ka murabba),Other,-,100g,104.17,25.94,0.66,0.13
Carrot murabba (Gajar ka murabba),Other,-,100g,175.24,45.6,0.32,0.16
Gooseberry marmalade (Amla murabba),Other,-,100g,123.16,32.34,0.14,0.03
Ginger candy (Adrak ki candy),Other,-,100g,195.71,50.38,0.69,0.27
Mango pickle (Aam ka achaar),Other,-,100g,192.12,8.11,1.6,17.89
Mixed vegetable pickle (Sabziyoon ka achaar),Other,-,100g,211.2,7.48,1.9,19.68
Sweet lemon pickle (Neembu ka meetha achaar),Other,-,100g,69.54,16.87,1.22,0.21
Plum chutney (Aloo bukhara ki chutney),Other,-,100g,177.11,44.95,0.47,0.29
Raw mango chutney (Kachhe aam/Kairi ki chutney),Other,-,100g,193.13,49.94,0.51,0.16
Tomato sauce,Other,-,100g,34.33,7.23,0.81,0.27
Tomato puree,Other,-,100g,20.62,3.68,0.75,0.25
Garam masala,Other,-,100g,254.21,26.2,9.89,10.97
Chat masala,Other,-,100g,222.58,23.87,8.19,9.91
Kashmiri masala,Other,-,100g,389.02,23.16,8.26,31.03
Rasam powder (Rasam masala),Other,-,100g,267.96,25.19,12.04,11.8
Sambar powder (Sambar masala),Other,-,100g,297.46,23.38,12.5,15.58
Tartare sauce,Other,-,100g,610.93,2.96,1.44,66.12
Barbeque sauce,Other,-,100g,121.93,20.46,0.96,4.51
Bread sauce,Other,-,100g,111.04,8.69,3.46,7.05
Green chilli sauce,Other,-,100g,46.06,7.36,1.25,0.27
Home made plain noodles,Snacks,-,100g,238.78,44.5,6.21,3.56
Dal moong,Other,-,100g,43.69,4.92,2.2,1.62
Cumin seeds baghar (Jeera baghar/tadka),Other,-,100g,736.81,5.22,3.34,78.77
Onion tomato baghar (Pyaaz tamatar ka tadka),Other,-,100g,137.52,6.17,1.26,11.98
Mustard seeds baghar (Mustard seed tadka),Other,-,100g,552.59,10.45,4.73,54.3
Hot cherry sauce,Other,-,100g,252.74,67.95,0.13,0.07
Apple jelly (Seb ki jelly),Other,-,100g,152.13,39.37,0.1,0.21
Marmalade (Murabba),Other,-,100g,143.76,37.64,0.23,0.04
Plum squash (Aloo bukhara squash),Beverages,-,100g,211.17,55.51,0.16,0.1
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),Other,-,100g,14.07,2.14,0.85,0.24
Brinjal pickle (Baingan ka achaar),Other,-,100g,139.01,4.23,2.24,12.98
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),Other,-,100g,60.88,6.55,1.26,3.24
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),Other,-,100g,91.21,6.32,1.98,6.55
Tomato chutney (Tamatar ki chutney),Other,-,100g,176.07,31.85,0.97,6.01
Tomato ketchup,Other,-,100g,33.07,6.48,0.91,0.3
Bengal 5 Spice Blend (Panch Phoran),Other,-,100g,289.79,20,18.26,22.16
White Rice,Main course,1 plate,200g,260,57,4.5,0.4
Roti,Main course,1 piece,40g,120,18,3,3
Chapati,Main course,1 piece,35g,104,15,3,2.5
Dal,Main course,1 bowl,150g,180,30,9,4
Rajma,Main course,1 bowl,150g,215,35,9,6
Chole,Main course,1 bowl,150g,220,32,10,6
Aloo Gobi,Main course,1 bowl,150g,130,15,3,7
Palak Paneer,Main course,1 bowl,150g,190,10,11,13
Paneer Butter Masala,Main course,1 bowl,150g,295,14,9,23
Butter Naan,Main course,1 piece,80g,270,35,7,10
Tandoori Roti,Main course,1 piece,50g,150,25,4,2
Plain Dosa,Main course,1 piece,100g,165,30,4,6
Masala Dosa,Main course,1 piece,150g,350,45,6,15
Idli,Main course,2 pieces,100g,140,30,4,1
Sambar,Main course,1 bowl,150g,120,22,4,2
Upma,Main course,1 bowl,150g,200,30,4,6
Poha,Main course,1 bowl,150g,180,27,3,5
Vegetable Pulao,Main course,1 plate,200g,240,35,5,6
Fried Rice,Main course,1 plate,200g,300,42,6,10
Biryani,Main course,1 plate,300g,450,60,12,15
Chicken Curry,Main course,1 bowl,150g,300,8,20,20
Egg Curry,Main course,1 bowl,150g,250,10,13,18
Fish Curry,Main course,1 bowl,150g,230,8,19,14
Mutton Curry,Main course,1 bowl,150g,330,7,18,25
Bhindi Fry,Main course,1 bowl,150g,180,14,3,12
Kadhi,Main course,1 bowl,150g,160,12,5,9
Curd,Other,1 bowl,100g,60,4,3,3
LaBeveragesi,Beverages,1 glaBeverages,250ml,160,25,6,4
Buttermilk,Beverages,1 glaBeverages,250ml,50,6,2,2
Tea with milk & sugar,Beverages,1 cup,150ml,90,12,2,4
Black Coffee,Beverages,1 cup,150ml,5,0,0.5,0
Vegetable Cutlet,Snacks,1 piece,80g,180,22,4,8
Samosa,Snacks,1 piece,100g,260,30,5,13
Pakora,Snacks,1 serving,100g,300,20,6,20
Kachori,Snacks,1 piece,80g,200,25,4,10
Pani Puri,Snacks,6 pcs,120g,180,28,3,6
Bhel Puri,Snacks,1 bowl,150g,200,35,5,4
Sev Puri,Snacks,6 pcs,150g,220,30,4,7
Moong Dal Chilla,Snacks,2 pieces,150g,180,18,9,5
Sprouts Salad,Snacks,1 bowl,150g,110,16,8,2
Oats Upma,Snacks,1 bowl,150g,180,25,5,5
Fruit Salad,Snacks,1 bowl,200g,100,22,1,0.5
Khichdi,Snacks,1 plate,200g,210,30,7,6
Sabudana Khichdi,Snacks,1 plate,200g,300,40,4,12
Sheera/Sooji Halwa,Sweets,1 bowl,150g,350,40,5,15
Gulab Jamun,Sweets,2 pcs,100g,300,45,4,12
Rasgulla,Sweets,2 pcs,100g,240,35,6,8
Jalebi,Sweets,2 pcs,80g,300,50,2,10
Modak,Sweets,1 piece,50g,140,25,2,5
Kaju Katli,Sweets,2 pieces,40g,230,20,4,12
Besan Ladoo,Sweets,2 pcs,50g,220,18,4,10
Chole Bhature,Main course,1 plate (2 bhature + chole),400g,450,45,12,22
Masala Dosa,Main course,1 dosa + chutney,250g,380,46,8,15
Paneer Butter Masala,Main course,1 bowl,200g,410,20,14,32
Dal Tadka,Main course,1 bowl,150g,180,24,9,6
Rajma Chawal,Main course,1 plate,350g,400,55,13,10
Aloo Paratha,Main course,1 paratha + butter,180g,330,35,6,18
Pav Bhaji,Main course,2 pav + bhaji,300g,420,40,8,24
Idli Sambar,Main course,2 idlis + sambar,200g,180,30,7,3
Medu Vada,Main course,2 pcs + chutney,150g,260,18,5,18
Pulao,Main course,1 bowl,200g,310,40,5,12
Vegetable Biryani,Main course,1 plate,300g,450,50,8,20
Chicken Biryani,Main course,1 plate,350g,520,42,25,25
Mutton Curry,Main course,1 bowl,200g,480,15,30,36
Fish Curry,Main course,1 bowl,200g,320,10,28,18
Palak Paneer,Main course,1 bowl,200g,350,14,11,28
Butter Chicken,Main course,1 bowl,250g,480,18,28,35
Poori Sabzi,Main course,4 pooris + sabzi,250g,450,40,6,30
Kadhi Pakora,Main course,1 bowl,200g,220,18,7,14
Vegetable Korma,Main course,1 bowl,200g,330,22,5,24
Bhindi Masala,Main course,1 bowl,150g,180,10,3,14
Baingan Bharta,Main course,1 bowl,150g,160,12,4,10
