Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Dry potato (Sookhe aloo),Main course,-,100g,103.15,14.38,1.62,4.18
Beans with coconut (Nariyal aur sem/phali; Beans thoran),Main course,-,100g,131.63,4.39,2.62,11.39
Cauliflower with coconut (Nariyal ke saath phoolgobhi),Main course,-,100g,132.11,3.99,2.64,11.56
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Main course,-,100g,106.61,4.99,1.82,8.62
Raw turnip with coconut,Main course,-,100g,132.15,5.78,1.8,11.47
Raw papaya with coconut (Papaya thoran),Main course,-,100g,132.75,5.58,1.54,11.42
Stuffed okra (Bharwa bhindi),Main course,-,100g,94.34,3.85,2.08,7.66
Stuffed round gourd (Bharwa tinde),Main course,-,100g,72.8,4.02,1.1,5.75
Stuffed capsicum (Bharwa shimla mirch),Main course,-,100g,90.94,8.26,1.34,5.7
Stuffed brinjal (Bharwa baingan),Main course,-,100g,93,3.96,1.53,7.73
Stuffed tomatoes (Bharwa tamatar),Main course,-,100g,93.35,6.19,3.28,6.06
Pea potato curry (Aloo matar),Main course,-,100g,100.92,9.74,3.48,5.13
Pea paneer curry (Matar paneer),Main course,-,100g,134.83,9.29,6.61,7.75
Pea mushroom curry (Matar mushroom),Main course,-,100g,93.3,7.41,3.87,5.16
Pea curry (Matar ki sabzi),Main course,-,100g,102.99,9.2,4.51,5.11
Pea vadi curry,Main course,-,100g,101.95,8.9,4.64,5.08
Paneer curry,Main course,-,100g,176.52,8.4,7.8,12.38
Lotus stem curry (Kamal kakdi curry),Main course,-,100g,110.34,9.24,1.53,7.25
Gravy for kofta,Main course,-,100g,125.59,6.31,1.75,10.35
Pea kofta curry (Matar kofta curry),Main course,-,100g,595.66,4.17,2.01,63.39
Spinach kofta curry (Palak kofta curry),Main course,-,100g,571.78,3.56,1.09,61.49
Paneer kofta curry,Main course,-,100g,670.91,3.27,2.39,72.06
Lotus stem kofta curry (Kamal kakdi kofta curry),Main course,-,100g,633.56,5.01,0.96,67.76
Raw banana kofta curry (Kela kofta curry),Main course,-,100g,627.27,3.4,0.62,67.98
Cauliflower kofta curry (Phoolgobhi kofta curry),Main course,-,100g,641.1,2.62,1.04,69.62
Cabbage kofta curry (Pattagobhi kofta curry),Main course,-,100g,639.81,2.87,0.98,69.4
Ghiya/Lauki Kofta Curry,Main course,-,100g,638.71,2.71,0.89,69.4
Spinach paneer kofta curry (Palak paneer kofta curry),Main course,-,100g,606.03,2.94,1.43,65.41
Vegetarian egg kofta curry,Main course,-,100g,627.41,4.26,1.33,67.24
Baked vegetables,Main course,-,100g,88.99,8.44,3.67,4.44
Cauliflower musallam (Phoolgobhi musallam),Main course,-,100g,58.83,4.48,1.89,3.55
Baked vegetables with spinach,Main course,-,100g,77.79,6.93,3.22,4.03
Baked potato with skin,Main course,-,100g,135.77,11.11,3.43,8.5
Shepherd's pie (vegetarian),Main course,-,100g,135.63,12.03,5.04,7.3
Baked brinjal in tomato sauce,Main course,-,100g,38.63,4.13,1.58,1.62
Dum aloo,Main course,-,100g,682.33,3.33,0.7,74.01
Spinach paneer (Palak paneer),Main course,-,100g,77.68,4.43,4.03,4.76
Methi chaman,Main course,-,100g,475.62,2.78,1.54,50.91
Sarson ka saag,Main course,-,100g,87.84,5.33,3,5.86
